backend,model,batch_size,avg_ttft,avg_latency,tokps_new,throughput,latency,model_file,dtype,device,tokps_total,avg_kv_cache_mb,tokens_per_sec,gpu_mem_mb
vLLM,/workspace/hf_models/llama3_1_8b,8,0.059153,12.004454,,341.21,12.004454,vllm_llama3_1_8b_scaling,bfloat16,cuda,,,341.21,39656.0
vLLM,/workspace/hf_models/qwen2_5_7b,1,0.046313,10.837149,,47.25,10.837149,vllm_qwen2_5_7b_scaling,bfloat16,cuda,,,47.25,36104.0
vLLM,/workspace/hf_models/qwen2_5_7b,2,0.049932,11.139401,,91.93,11.139401,vllm_qwen2_5_7b_scaling,bfloat16,cuda,,,91.93,36104.0
vLLM,/workspace/hf_models/qwen2_5_7b,4,0.052032,11.252,,182.02,11.252,vllm_qwen2_5_7b_scaling,bfloat16,cuda,,,182.02,36104.0
vLLM,/workspace/hf_models/qwen2_5_7b,8,0.056131,11.258299,,363.83,11.258299,vllm_qwen2_5_7b_scaling,bfloat16,cuda,,,363.83,36104.0
vLLM,/workspace/hf_models/qwen2_5_7b,1,0.045846,10.790104,,47.45,10.790104,vllm_qwen2_5_7b_scaling,bfloat16,cuda,,,47.45,36104.0
vLLM,/workspace/hf_models/qwen2_5_7b,2,0.049777,11.136144,,91.95,11.136144,vllm_qwen2_5_7b_scaling,bfloat16,cuda,,,91.95,36104.0
vLLM,/workspace/hf_models/qwen2_5_7b,4,0.052472,11.284197,,181.52,11.284197,vllm_qwen2_5_7b_scaling,bfloat16,cuda,,,181.52,36104.0
vLLM,/workspace/hf_models/qwen2_5_7b,8,0.057987,11.29218,,362.73,11.29218,vllm_qwen2_5_7b_scaling,bfloat16,cuda,,,362.73,36104.0
TensorRT-LLM,google/gemma-7b-it,1,0.029594,12.560538,40.762601,40.762601,12.560538,trt_gemma_7b,,,,,,
TensorRT-LLM,google/gemma-7b-it,2,0.031745,13.108498,78.117279,78.117279,13.108498,trt_gemma_7b,,,,,,
TensorRT-LLM,google/gemma-7b-it,4,0.033808,12.701567,161.239959,161.239959,12.701567,trt_gemma_7b,,,,,,
TensorRT-LLM,google/gemma-7b-it,8,0.041571,14.392017,284.602236,284.602236,14.392017,trt_gemma_7b,,,,,,
TensorRT-LLM,google/gemma-7b-it,16,0.067539,15.375819,532.784877,532.784877,15.375819,trt_gemma_7b,,,,,,
TensorRT-LLM,google/gemma-7b-it,1,0.029574,12.579626,40.701027,40.701027,12.579626,trt_gemma_7b,,,,,,
TensorRT-LLM,google/gemma-7b-it,2,0.031708,13.11561,78.075148,78.075148,13.11561,trt_gemma_7b,,,,,,
TensorRT-LLM,google/gemma-7b-it,4,0.033863,12.695021,161.323085,161.323085,12.695021,trt_gemma_7b,,,,,,
TensorRT-LLM,google/gemma-7b-it,8,0.041351,14.403182,284.381987,284.381987,14.403182,trt_gemma_7b,,,,,,
TensorRT-LLM,google/gemma-7b-it,16,0.066927,15.406425,531.730244,531.730244,15.406425,trt_gemma_7b,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,1,0.015002,5.904807,86.70909,86.70909,5.904807,trt_phi_3_mini,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,2,0.015744,6.0012,170.632688,170.632688,6.0012,trt_phi_3_mini,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,4,0.016272,6.159491,332.495224,332.495224,6.159491,trt_phi_3_mini,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,8,0.020001,6.764134,605.547216,605.547216,6.764134,trt_phi_3_mini,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,16,0.031246,7.498994,1092.413533,1092.413533,7.498994,trt_phi_3_mini,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,1,0.014991,5.917398,86.527602,86.527602,5.917398,trt_phi_3_mini,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,2,0.015742,5.984278,171.115063,171.115063,5.984278,trt_phi_3_mini,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,4,0.016756,6.274967,326.4188,326.4188,6.274967,trt_phi_3_mini,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,8,0.019829,6.822235,600.498891,600.498891,6.822235,trt_phi_3_mini,,,,,,
TensorRT-LLM,microsoft/phi-3-mini-4k-instruct,16,0.031799,7.706008,1063.067912,1063.067912,7.706008,trt_phi_3_mini,,,,,,
